entrypoint_id	product_role	reachability	app_equivalence	recommendation	decision_gate
README.md::documented_command::npm install	development_or_build_tool	documented_manual	not_applicable	retain_current	none
apps/arkscope-desktop/dev.js::desktop_launcher::apps/arkscope-desktop/dev.js	development_or_build_tool	documented_manual	not_applicable	retain_current	none
apps/arkscope-desktop/main.js::desktop_launcher::apps/arkscope-desktop/main.js	current_app_runtime	app_started	not_applicable	retain_current	none
apps/arkscope-desktop/package.json::npm_script::npm:apps/arkscope-desktop:start	current_app_runtime	external_contract	not_applicable	retain_current	none
apps/arkscope-web/package.json::npm_script::npm:apps/arkscope-web:build	development_or_build_tool	external_contract	not_applicable	retain_current	none
apps/arkscope-web/package.json::npm_script::npm:apps/arkscope-web:check:i18n-literals	development_or_build_tool	external_contract	not_applicable	retain_current	none
apps/arkscope-web/package.json::npm_script::npm:apps/arkscope-web:dev	development_or_build_tool	external_contract	not_applicable	retain_current	none
apps/arkscope-web/package.json::npm_script::npm:apps/arkscope-web:preview	development_or_build_tool	external_contract	not_applicable	retain_current	none
apps/arkscope-web/package.json::npm_script::npm:apps/arkscope-web:test	development_or_build_tool	external_contract	not_applicable	retain_current	none
apps/arkscope-web/package.json::npm_script::npm:apps/arkscope-web:test:watch	development_or_build_tool	external_contract	not_applicable	retain_current	none
apps/arkscope-web/package.json::npm_script::npm:apps/arkscope-web:typecheck	development_or_build_tool	external_contract	not_applicable	retain_current	none
apps/arkscope-web/scripts/i18n/visible-literal-scanner.mjs::external_manifest_target::apps/arkscope-web/scripts/i18n/visible-literal-scanner.mjs	development_or_build_tool	external_contract	not_applicable	retain_current	none
data_sources/IBKR_GUIDE.md::documented_command::./ibgateway-stable-standalone-linux-x64.sh	integration_install_or_host	documented_manual	not_applicable	retain_current	external_integration_confirmation
data_sources/PAID_SUBSCRIPTION_EVALUATION.md::documented_command::python scripts/collection/collect_ibkr_fundamentals.py	stale_documented_surface	documented_manual	unknown	remove_stale_invocation	none
data_sources/financial_metrics_calculator.py::python_script::data_sources/financial_metrics_calculator.py	unowned_diagnostic	test_only	not_applicable	retirement_candidate	none
data_sources/sec_earnings_releases.py::python_script::data_sources/sec_earnings_releases.py	unowned_diagnostic	test_only	not_applicable	retirement_candidate	none
data_sources/sec_insider_trades.py::python_script::data_sources/sec_insider_trades.py	unowned_diagnostic	test_only	not_applicable	retirement_candidate	none
docs/data/NEWS_DATA_INVENTORY.md::documented_command::python score_risk_anthropic.py	stale_documented_surface	documented_manual	unknown	remove_stale_invocation	none
docs/data/NEWS_DATA_INVENTORY.md::documented_command::python score_sentiment_anthropic.py	stale_documented_surface	documented_manual	unknown	remove_stale_invocation	none
docs/data/NEWS_DATA_INVENTORY.md::documented_command::python score_sentiment_openai.py	stale_documented_surface	documented_manual	unknown	remove_stale_invocation	none
docs/design/REFACTOR_PROTECTION_SMOKE_GATES.md::documented_command::python -m pytest	development_or_build_tool	documented_manual	not_applicable	retain_current	none
docs/design/SA_EXTENSION_ROADMAP.md::documented_command::python scripts/analysis/analyze_sa_market_news_density.py	stale_documented_surface	documented_manual	unknown	remove_stale_invocation	none
extensions/sa_alpha_picks/background.js::external_manifest_target::extensions/sa_alpha_picks/background.js	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/build_firefox.py::python_script::extensions/sa_alpha_picks/build_firefox.py	development_or_build_tool	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/compat_firefox.js::external_manifest_target::extensions/sa_alpha_picks/compat_firefox.js	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/extension_diagnostics.js::external_manifest_target::extensions/sa_alpha_picks/extension_diagnostics.js	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/extension_run_protocol.js::external_manifest_target::extensions/sa_alpha_picks/extension_run_protocol.js	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/extension_telemetry.js::external_manifest_target::extensions/sa_alpha_picks/extension_telemetry.js	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/install.sh::external_manifest_target::external:com.mindfulrl.sa_alpha_picks	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/install.sh::shell_script::extensions/sa_alpha_picks/install.sh	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/install_firefox.sh::shell_script::extensions/sa_alpha_picks/install_firefox.sh	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/native_host_launcher.sh::native_host::extensions/sa_alpha_picks/native_host_launcher.sh	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/popup.html::external_manifest_target::extensions/sa_alpha_picks/popup.html	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/popup.js::external_manifest_target::extensions/sa_alpha_picks/popup.js	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/popup_action_catalog.js::external_manifest_target::extensions/sa_alpha_picks/popup_action_catalog.js	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/reconciliation_ui.js::external_manifest_target::extensions/sa_alpha_picks/reconciliation_ui.js	integration_install_or_host	external_contract	not_applicable	retain_current	none
extensions/sa_alpha_picks/uninstall.sh::shell_script::extensions/sa_alpha_picks/uninstall.sh	integration_install_or_host	external_contract	not_applicable	retain_current	none
package.json::npm_script::npm:.:build	development_or_build_tool	external_contract	not_applicable	retain_current	none
package.json::npm_script::npm:.:dev:desktop	current_app_runtime	external_contract	not_applicable	retain_current	none
package.json::npm_script::npm:.:dev:web	development_or_build_tool	external_contract	not_applicable	retain_current	none
package.json::npm_script::npm:.:start	current_app_runtime	external_contract	not_applicable	retain_current	none
