documentation:README.md	README.md	["25","26","27","66","67","9"]	current	rewrite_current_authority
documentation:data_sources/DATA_SOURCE_QUIRKS.md	data_sources/DATA_SOURCE_QUIRKS.md	["19"]	current	rewrite_current_authority
documentation:docker/README.md	docker/README.md	["1","15","19","25","26","30","4","40","41","42","45","46","49","50","53","56","58","59","6","68","69","72","79","80"]	archive_instruction	retire_pg_only
documentation:docs/PROJECT_HISTORY.md	docs/PROJECT_HISTORY.md	["74"]	historical	retire_pg_only
documentation:docs/PUBLICATION_REVIEW.md	docs/PUBLICATION_REVIEW.md	["16","18","65","68","70","72"]	current	rewrite_current_authority
documentation:docs/data/DATA_INVENTORY.md	docs/data/DATA_INVENTORY.md	["284"]	historical	retire_pg_only
documentation:docs/data/NEWS_PROVIDER_DATA_DICTIONARY.md	docs/data/NEWS_PROVIDER_DATA_DICTIONARY.md	["21"]	historical	retire_pg_only
documentation:docs/data/OPTIONS_PRICING_THEORY.md	docs/data/OPTIONS_PRICING_THEORY.md	["557"]	current	rewrite_current_authority
documentation:docs/design/AGENT_EVOLUTION_TRACKER.md	docs/design/AGENT_EVOLUTION_TRACKER.md	["1160","1455","1466","1472","1478","277","70","755","769","859","901","925","927","939","944","947","948","950","956","961","964","965","966","971","973","984","988","989","990","991","992","993","994"]	historical	retire_pg_only
documentation:docs/design/AI_RESEARCH_RUN_LIFECYCLE_PLAN.md	docs/design/AI_RESEARCH_RUN_LIFECYCLE_PLAN.md	["391"]	current	rewrite_current_authority
documentation:docs/design/AI_RESEARCH_SURFACE_C2_SPEC.md	docs/design/AI_RESEARCH_SURFACE_C2_SPEC.md	["134","171"]	current	rewrite_current_authority
documentation:docs/design/CONFIG_AUTHORITY_PLAN.md	docs/design/CONFIG_AUTHORITY_PLAN.md	["191","193","199"]	current	rewrite_current_authority
documentation:docs/design/CREDENTIAL_MANAGEMENT_PLAN.md	docs/design/CREDENTIAL_MANAGEMENT_PLAN.md	["354"]	current	rewrite_current_authority
documentation:docs/design/CURRENT_PROJECT_CONTEXT.md	docs/design/CURRENT_PROJECT_CONTEXT.md	["29","45","52"]	current	rewrite_current_authority
documentation:docs/design/DATA_COLLECTION_AND_LOCAL_STORAGE_PLAN.md	docs/design/DATA_COLLECTION_AND_LOCAL_STORAGE_PLAN.md	["11","112","113","114","115","117","118","119","120","121","124","126","128","138","139","142","143","147","149","151","155","156","175","179","183","186","187","190","192","194","196","198","200","201","202","205","206","211","212","213","214","215","221","226","227","228","237","243","245","252","270","280","281","282","283","287","288","289","293","294","296","298","30","301","302","304","307","32","321","322","326","329","333","334","337","339","347","348","349","361","366","392","400","411","42","43","432","47","473","485","486","489","491","492","493","494","6","61","69"]	current	rewrite_current_authority
documentation:docs/design/DESKTOP_APP_CARRYOVER_ANALYSIS.md	docs/design/DESKTOP_APP_CARRYOVER_ANALYSIS.md	["25"]	current	rewrite_current_authority
documentation:docs/design/DESKTOP_APP_VISION_DRAFT.md	docs/design/DESKTOP_APP_VISION_DRAFT.md	["247","260","261"]	current	rewrite_current_authority
documentation:docs/design/DOCS_SWEEP_DISPOSITION_2026_07.md	docs/design/DOCS_SWEEP_DISPOSITION_2026_07.md	["119","125","46","72","73","74","75","76","77"]	historical	retire_pg_only
