cache_key	family	source	ticker	fetched_at	expires_at	payload_bytes	payload_sha256
balance_SNDK_annual	other_retained_cache	financial_datasets	SNDK	2026-07-07T12:39:10+00:00	2027-01-03T12:39:10+00:00	1271	7d34d93dfb1fd4007b842d95f4b6d2596eb55d0769026ce9037f43f0ee55dad4
balance_SNDK_quarterly	other_retained_cache	financial_datasets	SNDK	2026-06-23T00:19:25+00:00	2026-09-21T00:19:25+00:00	1177	0df5e084ba2076d48a213431fc710b293d05c86a70b8461584cc02a99abc41ce
balance_TIGO_quarterly	other_retained_cache	financial_datasets	TIGO	2026-06-22T12:35:29+00:00	2026-09-20T12:35:29+00:00	1114	19ec3cc7c2d6b0836e525bd18cf09f54e96dcc8a24bd3a206a2f7954b90c9409
cashflow_SNDK_annual	other_retained_cache	financial_datasets	SNDK	2026-07-07T12:39:10+00:00	2027-01-03T12:39:10+00:00	2094	d16a8764a9e33dabb2ca26bda58ad1f781ac2e9938bf86b3c52594f418b1dec4
cashflow_SNDK_quarterly	other_retained_cache	financial_datasets	SNDK	2026-06-23T00:19:26+00:00	2026-09-21T00:19:26+00:00	4123	0fb4274075f8e003a76df9748e55dc83c7f1aff58a7333261aa7e014f3258c4f
cashflow_TIGO_quarterly	other_retained_cache	financial_datasets	TIGO	2026-06-22T12:35:30+00:00	2026-09-20T12:35:30+00:00	3705	d542b813576399b87eccfab5f1ae6d4207394527c6dfeb7d39c235271b6e7d2c
fundamentals_analysis:sec_edgar:AAPL:annual:v1	current_sec_v1	sec_edgar	AAPL	2026-07-12T06:57:34+00:00	2026-10-10T06:57:34+00:00	4472	9a9423a8b3bfe86111315b59883ff145330599877dc83f3637508f1c0e5ee755
fundamentals_analysis:sec_edgar:AMD:quarterly:v1	current_sec_v1	sec_edgar	AMD	2026-07-29T14:26:07+00:00	2026-08-28T14:26:07+00:00	6560	ea9d3c6007fdd6a1a6c6284d4123e7a8b7ca7266699e042725d4ddd4e144914e
fundamentals_analysis:sec_edgar:COIN:annual:v1	current_sec_v1	sec_edgar	COIN	2026-07-06T13:08:28+00:00	2026-10-04T13:08:28+00:00	3670	ff97a5bb4fe3ba226d80529c88a9cde20e3ca529af55a7b66e3756f6d98bf465
fundamentals_analysis:sec_edgar:GOOGL:quarterly:v1	current_sec_v1	sec_edgar	GOOGL	2026-07-24T11:31:10+00:00	2026-08-23T11:31:10+00:00	6731	a6523247015cb7ee3feef09531e100825bee4136ef22b206de7291d37ed6c30a
fundamentals_analysis:sec_edgar:ICHR:quarterly:v1	current_sec_v1	sec_edgar	ICHR	2026-08-01T23:18:39+00:00	2026-08-31T23:18:39+00:00	5996	b23115a9b679772abb157d9f985c78b5c76ee12af48041b4a2679d5acc4a3bba
fundamentals_analysis:sec_edgar:META:quarterly:v1	current_sec_v1	sec_edgar	META	2026-07-12T05:31:59+00:00	2026-08-11T05:31:59+00:00	6412	d72efa8234cd8ebb4230040a7b413f424eff8870fa6e05fbe4eb4012920243fb
fundamentals_analysis:sec_edgar:MU:annual:v1	current_sec_v1	sec_edgar	MU	2026-07-07T12:39:09+00:00	2026-10-05T12:39:09+00:00	4184	9890e556b9e8eb99661041c17a0cedf4fcdad87c73d98586d8021a35dfaf3ab2
fundamentals_analysis:sec_edgar:MU:quarterly:v1	current_sec_v1	sec_edgar	MU	2026-07-24T11:28:05+00:00	2026-08-23T11:28:05+00:00	6870	4c2056b791b4c824ed04f39205096f88a7183429195e84e568b6a5c29f10c661
fundamentals_analysis:sec_edgar:MXL:quarterly:v1	current_sec_v1	sec_edgar	MXL	2026-08-01T23:18:40+00:00	2026-08-31T23:18:40+00:00	6123	0f02ab37dab27954fbb7c9f8cff7e6cdbd318c0fb6345bd4a3ae7b96d308ad86
fundamentals_analysis:sec_edgar:NVDA:annual:v1	current_sec_v1	sec_edgar	NVDA	2026-07-06T13:08:26+00:00	2026-10-04T13:08:26+00:00	4237	071a5aa65002c820cbc1553ee90d35677606d5fa090547636b27aae02dcfb707
fundamentals_analysis:sec_edgar:NVDA:quarterly:v1	current_sec_v1	sec_edgar	NVDA	2026-07-29T14:26:07+00:00	2026-08-28T14:26:07+00:00	6988	4b6451fc2d3c1b53c5e5545df815d3ac9eb478cc251fa7c944429ad80f7ca4f8
fundamentals_analysis:sec_edgar:PLTR:annual:v1	current_sec_v1	sec_edgar	PLTR	2026-07-06T13:08:26+00:00	2026-10-04T13:08:26+00:00	3877	a25317e02d777175c0501409f0f420c7bdf75cbfc57fadf4e71d71fa723f3dba
fundamentals_analysis:sec_edgar:RKLB:annual:v1	current_sec_v1	sec_edgar	RKLB	2026-07-06T13:08:28+00:00	2026-10-04T13:08:28+00:00	3990	2827e32bcef2566806fbd508c67c94582666969a2771ae1616bbf228a955f163
fundamentals_analysis:sec_edgar:SMCI:quarterly:v1	current_sec_v1	sec_edgar	SMCI	2026-07-29T14:26:10+00:00	2026-08-28T14:26:10+00:00	6249	8eabeb9745d07410fb182c4770cbfc6b990b54af7dd0b6aba6bf15e0299125c1
fundamentals_analysis:sec_edgar:SNDK:annual:v1	current_sec_v1	sec_edgar	SNDK	2026-07-07T12:39:07+00:00	2026-07-08T12:39:07+00:00	19	1e6c58fa698cb04c2eef6eda71bcd99fa01c79dcb955841a0196fae3e403600f
fundamentals_analysis:sec_edgar:SNDK:quarterly:v1	current_sec_v1	sec_edgar	SNDK	2026-08-01T23:18:40+00:00	2026-08-02T23:18:40+00:00	19	1e6c58fa698cb04c2eef6eda71bcd99fa01c79dcb955841a0196fae3e403600f
fundamentals_analysis:sec_edgar:TSLA:quarterly:v1	current_sec_v1	sec_edgar	TSLA	2026-07-12T05:31:58+00:00	2026-08-11T05:31:58+00:00	6480	d66f6ea67460c75fbeb34741e3e84781fcfd3522061b25166edbc424ad11cba6
