canonical_ticker	datetime_utc	raw_tickers	difference_kind
AAPL	2026-06-23T13:30:00+0000	AAPL	volume_only
AAPL	2026-06-23T15:45:00+0000	AAPL	volume_only
ADBE	2026-06-23T13:30:00+0000	ADBE	volume_only
ADBE	2026-06-23T14:30:00+0000	ADBE	volume_only
AMD	2026-06-23T13:45:00+0000	AMD	volume_only
AMD	2026-06-23T14:15:00+0000	AMD	volume_only
AMZN	2026-06-23T13:30:00+0000	AMZN	volume_only
AMZN	2026-06-23T14:00:00+0000	AMZN	volume_only
AMZN	2026-06-23T15:45:00+0000	AMZN	ohlc
ANET	2024-07-01T15:45:00+0000	ANET	ohlc
ANET	2025-07-02T15:45:00+0000	ANET	ohlc
APP	2026-06-23T15:45:00+0000	APP	volume_only
ARM	2026-06-23T15:45:00+0000	ARM	ohlc
ASML	2026-06-23T14:45:00+0000	ASML	volume_only
ASML	2026-06-23T15:45:00+0000	ASML	volume_only
AVGO	2026-06-23T14:15:00+0000	AVGO	volume_only
AVGO	2026-06-23T14:45:00+0000	AVGO	volume_only
AVGO	2026-06-23T15:00:00+0000	AVGO	volume_only
AVGO	2026-06-23T15:15:00+0000	AVGO	volume_only
B	2024-03-01T15:45:00+0000	B	ohlc
B	2024-05-01T15:45:00+0000	B	ohlc
B	2024-10-31T15:45:00+0000	B	volume_only
B	2026-03-03T15:45:00+0000	B	ohlc
B	2026-06-23T15:45:00+0000	B	volume_only
BRK B	2026-06-23T15:45:00+0000	BRK B	ohlc
CSTM	2024-03-01T15:45:00+0000	CSTM	ohlc
DELL	2024-03-01T15:45:00+0000	DELL	ohlc
DELL	2024-07-01T15:45:00+0000	DELL	ohlc
GM	2026-03-03T15:45:00+0000	GM	ohlc
IONQ	2024-03-01T15:45:00+0000	IONQ	volume_only
IONQ	2024-10-31T15:45:00+0000	IONQ	ohlc
IONQ	2024-12-31T15:45:00+0000	IONQ	volume_only
IONQ	2025-05-02T15:45:00+0000	IONQ	ohlc
IONQ	2025-07-02T15:45:00+0000	IONQ	volume_only
MXL	2024-10-31T15:45:00+0000	MXL	ohlc
NEM	2024-10-31T15:45:00+0000	NEM	ohlc
NEM	2024-12-31T15:45:00+0000	NEM	volume_only
NEM	2025-07-02T15:45:00+0000	NEM	volume_only
NEXA	2024-05-01T15:45:00+0000	NEXA	ohlc
QBTS	2024-03-01T15:45:00+0000	QBTS	volume_only
QBTS	2024-12-31T15:45:00+0000	QBTS	ohlc
SNDK	2026-03-03T15:45:00+0000	SNDK	ohlc
SNEX	2026-03-03T15:45:00+0000	SNEX	ohlc
