id	ticker	snapshot_date	payload_bytes	payload_sha256
1	AAPL	2025-12-25	6190	54dc3f6e516144d2863f3aad2741637466810373eb59fe3327d9960f983154f6
2	ABNB	2025-12-25	6084	b6d996b162df528bac5f27517b74b8176e7782eda7441ee95fa66bfb359cb05e
3	ADBE	2025-12-25	6102	3e79ff61fe2a1b3c3d212df4cce86ef72f825fdb0e8c93a34b277e991f532358
4	ADI	2025-12-25	6078	c992ac551b3fec29b7a5432c9146f35dd8c56f23d62be13231296bd0ad23a1d6
5	AGX	2025-12-25	6150	63f87b977c28a0ea29af795558c8916086a2850fcec3f92a16fd8c75a9d515ed
6	ALL	2025-12-25	6070	8da153c9b2a789244083119a04ab9790308476691733dcec4611682052cc3fcc
7	AMAT	2025-12-25	6143	08536cad39195fef9a1db0ad7668adbdd4de41a722d507405b56a38f208c7e22
8	AMD	2025-12-25	6116	083b87d8f99c86918c811f74bbad9117e9bca366b5e4de30c074fea0c7869b77
9	AMGN	2025-12-25	6089	dd670ee35abe528a557145c0ef04944bf8edc9fd4b30a1639e885d1201f97f9e
10	AMZN	2025-12-25	6171	7917ceca938650727c43926d00b5885b19a86964b285a52bacb442121ebf230b
11	APP	2025-12-25	6032	e6089d48eb4607e19c97188005ff05fdd574c004cb19d46566fca26559d72e0a
12	ARM	2025-12-25	1623	cfcf1b33fccc54a2db1f3f1cf051d1153009a87ab34a7bd20168f2ddafa35277
13	ARQT	2025-12-25	6306	22dbd2a52fce7a02b533154c39fe1ac1ebccf501190f718bf66c4a9f2cab3118
14	ASML	2025-12-25	6140	8b8b526ec932fac90bf5994edd28a16c302025ee2967e2fca9a6f72b2729a4b5
15	ATGE	2025-12-25	6177	ee80ce9c9d4c2a050920e5b6d06d6fde0a2c55b18287ecbf64090ae363814852
16	ATVI	2025-12-25	256	5bfb2589a6ef336eff7bc2ba7e530ee0a9ac8cf56ae8eba24c9d2e15d7e8b233
17	AVGO	2025-12-25	6176	2587dcca8dc023d3d134a5d65abc2b6d49577e282e1202aa6ab593952becc347
18	BKNG	2025-12-25	6047	def3f11ce35088a7ccf4e08319a7007b604c3717f32986ce2a839f512a0cdf90
19	BLBD	2025-12-25	6171	9fe5deb2dda05713d8fd7537f8d3d6378a75f413e718213a8f297ff3404b2530
20	BMNR	2025-12-25	1629	2873a0d32e37d56692ba10ef292c6a4e80d1f887fbdea037f66577d99af8e144
21	BRK B	2025-12-25	257	b6a7f1c3b937bab86567528b139f862fab39a319ed72ddeb564792948d7c4ebb
22	CAAP	2025-12-25	6324	8bf78e618850be877a3e96d3b67e837ed3d3656844043d5afb0263be8eab1381
23	CAVA	2025-12-25	1611	648298dac2b10bfaedc10ce9d26a663082aedb5464a913733b87d402cf8f2684
24	CCL	2025-12-25	6122	dc2786a0d0bce6737b4806b620e7493a0cac97047a95696eff88cd785b2f50bf
25	CDE	2025-12-25	6097	671d83cfe788bf218cfc295790cf4c66dee0e25214bb3a2bac760cb49cde77ba
26	CELH	2025-12-25	6146	11e1e868b50afd5597937db9c24cf6f5fb0246039e087e98dcea2110e5bfb9cc
27	CLS	2025-12-25	1568	d0a203fd4757c81699974008f23e63aad31ccc36c1caf7419100f349e3a71877
28	COIN	2025-12-25	6094	a1c492827a877d977c83b0f3f851c061a94edb5083e77a0f8d379c48cb8a7ba0
29	COMM	2025-12-25	6269	77080802ca614f239c23f2aff725f96cfc73c21249e664ac54958abadaffcfe6
30	CRDO	2025-12-25	1634	f996adcd468d6afa5cbb18e962e8efefcdc0b5ff922b58c06809869c2b18dff2
31	CRM	2025-12-25	6132	fb6c91f1216d5244b5078ed7e63574f2ba038d028ac6082c7551697f06816c32
32	CRWD	2025-12-25	6120	e5e95573e1c6bb3f6b858ba28fb026f405eccab3536d3591dfe87918c8b29529
33	CRWV	2025-12-25	1637	af61beb8c7b10cf480f37106846210460f72319e16334c58f490c9ca3ab62df1
34	CSCO	2025-12-25	6173	a17447a917f8a874d9003e0d5105871d78ff2113d51c27051671aee165f95cb0
35	DDOG	2025-12-25	6035	45e3efa0e3f3f7422054a3537583f4fd388f154c5096103dc026d7bad1282300
36	DKNG	2025-12-25	1624	0084c5200ee8f5cdc3448af38a8f23a4f031df396a6ae2fbecebbc908ffc7e0b
37	DOCU	2025-12-25	6050	52a75a10b0a645ce7107afc3f1eb9fca4986bf88c52947c0f91b831c4bf8f3e9
38	DPZ	2025-12-25	6055	d3683b1299db003266d75078fcec6ea3268eb163417cefd6985961298e35dd11
39	EAT	2025-12-25	6075	b29655aad85a650f003ff7a262849aa0427d88b6be0cab9ff90804396d63f7ef
40	EA	2025-12-25	6128	b83332c9615f8a7f3ea2e9ee6d0447fbe9b66b3a91809053da90991b5594877e
41	EBAY	2025-12-25	6043	b1085b3d0c7353f79757d899b1c148ab85abecd2cb2c8c6bea9668c6f6aee405
42	ELF	2025-12-25	6038	0dbefead7e661b3ce840b0f6e46ab74c5673115f6aa5f31e623c7431b2b43918
43	ELV	2025-12-25	6033	2b04386cec0a784a33367d40d417303aa428ed157693860589673aaace6b6167
44	ENPH	2025-12-25	6104	5399d8f959dddfa5236186337b8d3d90801a36b07d57f326a2f5eaab9698aecb
45	EZPW	2025-12-25	6225	255c1c7985238c4330815d66978c88aafc5816528ea7406bfadcd7cf3c4fb2bc
46	FSLR	2025-12-25	6053	7c16164d1a3c069ee65a5e5acf8080272dd6fa830b421a626d3d679217c41bb6
47	FTNT	2025-12-25	6136	073def25db54ca9940db423a7fc464bfe2d4252d24624601e0cb1c569e680232
48	GILD	2025-12-25	6093	9a21e368e8fcd48a7ae31cbe92d71fd841b13a588f5029f72abfa83f778a6dcb
49	GLXY	2025-12-25	1621	296ee7b02d258b9df33f021a034d69a9f858299587464371931dbb2b6d60c60e
50	GOOGL	2025-12-25	6137	ed4795fadc0a90d864ceb8608f651a2391569709a1a8197f21f6c380b22bf2f4
51	GOOG	2025-12-25	4767	ccdb96e4f2813918d39a65aae5f544e79b6158214da6316c13af878858c85010
52	GRAB	2025-12-25	6094	7bc7d27cb2d2d7b55052fc9f05f6cd09c71c5836a6687445dacdc5f3730be32f
53	IBKR	2025-12-25	6063	5554131025d1ac8cfa7b00a606108349fe721450c974f4da15e79c5aadcc7086
54	INCY	2025-12-25	6091	eab1901a48a5a0ce27d36c579531117476cda9fc1322d323d1e303a06f8ded96
55	INTC	2025-12-25	6122	4cbb3ce564346342ec7c25baac993220e49cb1f6e80912971fbc4513bb60d33a
56	INTU	2025-12-25	6059	b060463d0e97cccc92a7e1e74bbca18a91665a599001960b22378634915b3857
57	ISRG	2025-12-25	6071	f7d155730ea8c2d7054b4207ebd99746a4b3e6fd0ca536be22d7786f296cfb82
58	JD	2025-12-25	6102	7784223e1e27bf6cfe245901dbd1569edb96e144de0bf684c339cd96a9313641
59	KGC	2025-12-25	6041	7d6b1c075ba31a43d87eb740510e53ad388b01fbbeb8e72672c9f24ac1ebd9f5
60	KLAC	2025-12-25	6038	26388e857761e8e4ecd0c3685ad538081f9cec00d2951b08d15f327dbc503fbe
61	LCID	2025-12-25	1635	bc7cb7e43733283f57cb79e69aae9f9398eea3cdfe2b23423125296628b32f4e
62	HAPN	2025-12-25	6251	2a6d945488c6dae8a78648688fc94b12bb839cee508e72c77801a41be4927a59
63	LLY	2025-12-25	6134	21dc8b5946d45c98b8ebaaf04e11613b388aa711d6eeb8c7de85d0c5588ee4aa
64	LRCX	2025-12-25	1635	282abd3f735cddbb5236f90ae4ed7eac7a474feca8d470b45a9a89c9d19b89c7
65	MA	2025-12-25	6132	91cc7f6adb1b11318e0326f5a4c3b38df09cb263eba1eb914aacf53df2f0b73c
66	MDB	2025-12-25	6024	e6b0e2c51fb5f6ba9c67c2d4df436265f300a8ce2b406485fb6b86bb02e296f9
67	MELI	2025-12-25	6080	e02c6d2ff53276151dcab50a109c425f2ee5f2a8598deee44e7c902e22b47e77
68	META	2025-12-25	6145	4e20445af17e8878879db4a198d0a402ba0e04328ee2d89b2af2597b353c0a56
69	MFC	2025-12-25	6094	b9f605477c7b02b6b313322a0a7d692199e8a4b15e691868aac0ae26e8000b17
70	MGX	2025-12-25	1612	d79f54fd5a37da6bd26b8c3583e26f38e3e114328bf988e5e3ec46d06b265484
