task	node_id	reason	red_expectation
T1	tests/test_sec_corporate_actions.py::test_form25_class_does_not_choose_the_initial_review_state[(1) Units consisting of Common Stock and warrants; (2) Common Stock; (3) Warrants]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_class_does_not_choose_the_initial_review_state[(1) Warrants; (2) Class A Shares]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_class_does_not_choose_the_initial_review_state[6.00% Series B Cumulative Preferred Stock]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_class_does_not_choose_the_initial_review_state[6.75% Notes due 2031]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_class_does_not_choose_the_initial_review_state[American Depositary Shares, each representing five Common Shares]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_class_does_not_choose_the_initial_review_state[Common Stock, par value $0.0001 per share]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_class_does_not_choose_the_initial_review_state[Units of Beneficial Interest]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_class_does_not_choose_the_initial_review_state[Warrants to purchase shares of common stock]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_class_evidence_is_bounded_only_at_the_storage_boundary	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_class_evidence_survives_a_terse_filing_description	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_depositary_class_is_never_silently_discarded	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_fetch_failure_does_not_lose_the_rest_of_the_ticker	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_for_a_matured_note_is_review_material_not_pending_equity	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_for_common_stock_starts_as_review_material	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_records_the_class_of_securities_as_evidence	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_records_the_class_verbatim_from_every_served_shape[<?xml version="1.0"?><notificationOfRemoval><schemaVersion>X0203</schemaVersion><exchange><cik>0000876661</cik><entityName>NEW YORK STOCK EXCHANGE LLC</entityName></exchange><issuer><cik>0000059478</cik><entityName>ELI LILLY &amp; Co</entityName></issuer><descriptionClassSecurity>1.625% Notes Due 2026</descriptionClassSecurity><ruleProvision>17 CFR 240.12d2-2(a)(2)</ruleProvision></notificationOfRemoval>-1.625% Notes Due 2026]	batch observation/kind shape	must_fail
