path	task	action	base_lines	base_sha256
apps/arkscope-web/src/App.tsx	T4	modify	247	4f8ac79a0e159e56744f999e7656d3b08fd380a51a95700d452e3702079b4f0e
apps/arkscope-web/src/AppShell.test.tsx	T4	modify	797	7d442a1797d81870ffc1d1478c0a931fd14d0eb3782a5d710639011c9d1b8360
apps/arkscope-web/src/Settings.tsx	T4	modify	1214	c47e74b0038a6958a91c67c5fb4cc3221474e445591296679faf548563baf1b7
apps/arkscope-web/src/SettingsLocalStorage.test.ts	T4	modify	1091	fa372b18ea05d012aa644d99062eab9a4c6643a51a7e4fbf276821680eb7b6eb
apps/arkscope-web/src/Universe.test.tsx	T4	modify	581	5b6b3041241e73dbad3f22d2d4366894f65ae49937425090a4e2a2b9aed55a21
apps/arkscope-web/src/Universe.tsx	T4	modify	353	871905efa921b724ac1fdbf099c2f8af6c65a78a926557b7826857e10fd710ca
apps/arkscope-web/src/api.ts	T4	modify	3075	c5919a94da0643cfbfddd0dc98d8784b193ac45c64e327ca9710737a6769ee08
apps/arkscope-web/src/i18n/resources/en/explore.ts	T4	modify	422	9f894ca1e45cdd95ee658c7416da1b1dbc54ce711bfde60d2d5f0df9c07d9f76
apps/arkscope-web/src/i18n/resources/en/settings.ts	T4	modify	1144	27c3ec71ce68475dd022209eeaca61336ae0aff21380d9867c491041cbe79353
apps/arkscope-web/src/i18n/resources/zh-Hant/explore.ts	T4	modify	419	4777692f0a9a53289334f81ec435452ced7d9c0073dedf65e08836c4d4090dfe
apps/arkscope-web/src/i18n/resources/zh-Hant/settings.ts	T4	modify	1143	cde90280092c75945fb393449fcbef0a0ed6d805f8cba6c5221472567c134f58
apps/arkscope-web/src/lifecycle/LifecycleCaseDrawer.tsx	T4	add	0	ABSENT
apps/arkscope-web/src/lifecycle/LifecycleView.test.tsx	T4	add	0	ABSENT
apps/arkscope-web/src/lifecycle/LifecycleView.tsx	T4	add	0	ABSENT
apps/arkscope-web/src/lifecycle/lifecyclePresentation.test.ts	T4	add	0	ABSENT
apps/arkscope-web/src/lifecycle/lifecyclePresentation.ts	T4	add	0	ABSENT
apps/arkscope-web/src/settings/DataStorageSection.tsx	T4	modify	760	908ff8f40fd467a4ac3fe7f019c3234f3dc62bc752157428ae7401f8a18c4f37
apps/arkscope-web/src/shell/navigation.test.ts	T4	modify	83	a5021008e1192936aefce93ffd1c78edd4b29d7f4448a98fc742270dd7c1c1b7
apps/arkscope-web/src/shell/navigation.ts	T4	modify	125	fd2705e33dd0fecb0bb734b40cf10366d0e8cb53a121cbc2e7cec53d1b6aea13
apps/arkscope-web/src/styles.css	T4	modify	2910	e016d2387568417c09f688a1c38bcc260bc983d820d6b9dad5dc19e29f064e9a
docs/design/ARKSCOPE_TOOL_CATALOG.md	T3	modify	129	7342e7ac0557054482f8e3c6c6a7139d593842d00b7bfbbf6323fee1b35e3e93
src/api/app.py	T3	modify	264	120575087769b645e2545fbce16219914b2197e42a8df6f3cfda4e7f5a820b84
src/api/dependencies.py	T3	modify	436	9036bce0251056b29154577c698a7737d923b53f9a19afbc8d82f08c7e8ef5ca
src/api/routes/market_data.py	T3	modify	285	820a8287d35ff0ec94421ff8220dfcefe1b7caac1e49f14cd07bcc68d6148acd
src/api/routes/security_lifecycle.py	T3	add	0	ABSENT
src/auth_drivers/chatgpt_oauth_driver.py	T3	modify	683	dbfd81adb4634c502a68f52ab00146d2728936735604175e49bcd81765074d63
src/auth_drivers/claude_code_sdk_driver.py	T3	modify	849	cb04433a8db12402b56120aa3432ea7ed0a1615262e29e1c2ca53f7652052ead
src/collectors/sec_corporate_actions.py	T1	modify	452	7f07550226c38f4d436d64122eb61264027e8fd0375774dd33158e442f89c2d2
src/security_lifecycle.py	T1	modify	495	d9a3a2956bc0d6b9461fbde910b14fcb63b4020a463ac77b64da123f2450fd36
src/security_lifecycle_investigation.py	T1/T2	add	0	ABSENT
src/security_lifecycle_migration.py	T1	add	0	ABSENT
src/security_lifecycle_schema.py	T1	add	0	ABSENT
src/security_lifecycle_search.py	T2	add	0	ABSENT
src/tools/registry.py	T3	modify	1249	99f28fcd5aef06f4e49719d7dfa0d26b2128d7f3f2ff0805b1f24f5813167b36
src/tools/security_lifecycle_tools.py	T3	add	0	ABSENT
tests/fixtures/security_lifecycle_legacy_37.json	T1	add	0	ABSENT
tests/test_agents.py	T3	modify	635	1fd9d6adb6a2ed1a5dfa2e75d06c8f88c873074428717545bcf58cc8193d090e
tests/test_analyst_tools.py	T3	modify	309	09f69a4b9b67ae4ebb0e19ca3cfb490e1b6b5f67ea8c35f6d96d704a917d43dd
tests/test_api.py	T3	modify	750	ccbfc909cc0f4dd0e55892c967c2771d45c1051de3f1e30b4c5a58a3176f4516
tests/test_data_scheduler.py	T1	modify	2704	c52a8330a12d0cf94371129878bd9ea0c81d41eab41ae41afe62f244766cdec2
tests/test_memory_tools.py	T3	modify	340	0e9eecebc644a323a4a784025622cf0f7155fd776d9ef407e6e9503751518886
tests/test_portfolio_tools.py	T3	modify	195	8b056ecf1b0b97665673c035c810c51773d8661e87ac5074a74335e04de7c02f
tests/test_sa_tools.py	T3	modify	2365	8b4e453f63973a91b8625229ec65c0d2c8d46002678cb679e92fccae2b617ce0
tests/test_sec_corporate_actions.py	T1	modify	580	dcab1d6f89397e279aeccca5e85c0434c276e26c2c4a8d988e7de6b08b18aac7
tests/test_sec_tools.py	T3	modify	172	043539a1d29af22f653cbbe07cca58fd7a0a920edfa4fb21216f0994fbcd5a56
tests/test_security_lifecycle.py	T1	modify	450	ad06dfcd40e4d563d9ccb46bc5937fe97cc4c3eede83cc3017714593cefcfd16
tests/test_security_lifecycle_investigation.py	T2	add	0	ABSENT
tests/test_security_lifecycle_migration.py	T1	add	0	ABSENT
tests/test_security_lifecycle_routes.py	T3	add	0	ABSENT
tests/test_security_lifecycle_schema.py	T1	add	0	ABSENT
tests/test_security_lifecycle_search.py	T2	add	0	ABSENT
tests/test_security_lifecycle_tools.py	T3	add	0	ABSENT
tests/test_tools.py	T3	modify	450	1d283276b3f0018053d3de54491053ea8af7e3fce3601a7eaa3b0613b83868c0
