path	task	action	base_lines	base_sha256
data_sources/sec_user_agent.py	T3	modify	31	1e5c33b544c7e3baab589955ca0c9336162618338eeb0570e3a9396a405a74bd
data_sources/sec_transport.py	T3	add	0	ABSENT
data_sources/sec_edgar_source.py	T3	modify	515	a0983e7a2c8d2e3d7f9977016c1b6b3bb0a6899d21642580bebcedc4aef30897
data_sources/sec_edgar_financials.py	T3	modify	964	0fe1b9e08375db2f77ecce4472abb25478d8c447d0eb61405d509b64b23f55ec
data_sources/sec_earnings_releases.py	T3	modify	306	2f73f9cef9a3c878e7d6e1bf108fee19e11129d6fe4acb06550f18364f76231e
data_sources/sec_insider_trades.py	T3	modify	377	aae087553584bfb86bbb6b1d665997abc117fa94f3130097ff5e467c93f0567c
src/symbol_catalog.py	T3	modify	216	6583396600c3e2bd3f19b8c8d0ad7fef30f4b79e7feaae51b1f357f65d187faf
src/data_provider_config.py	T3	modify	586	70f17ab66b2093f783123343dc4d691e77ad11e98482baf398e02b272633633b
src/security_lifecycle_schema.py	T1	modify	432	f9234df143b5d82cb957f14f409018cd50778e517ed357868e85205b4d3cbf5c
src/security_lifecycle_investigation.py	T1/T7	modify	1255	107756fa060cebd533fc576cce9795ee1e14a04a994a1024aa6712ed9345a9db
src/security_lifecycle_manual_evidence.py	T1	modify	130	b07905cd28fba98f5d2b65d6b0031cc8573feace91779c5827dd23c03e748840
src/security_lifecycle_migration.py	T2	modify	745	60a6d426fc2c33d032d0806ab417fb8f9e5a03df954a1b01324d018ebc9a14bb
src/security_lifecycle_retirement.py	T2	modify	94	8a13e926dd19130f9fcfeb1a371973a1b6140d1213d9c4a4570b4735eb45bdf3
src/security_lifecycle_automation_migration.py	T2	add	0	ABSENT
src/security_lifecycle_fact_kernel.py	T7	add	0	ABSENT
src/security_lifecycle_sec_evidence.py	T4	add	0	ABSENT
src/security_lifecycle_news_evidence.py	T5	add	0	ABSENT
src/security_lifecycle_ibkr_evidence.py	T6	add	0	ABSENT
src/ticker_identity_schema.py	T1	modify	240	694ab6c200fe991d1c98181f4f9935beee897154ef3a26c778e48da718f171e2
src/ticker_identity_migration.py	T2	modify	483	daab9e8be23b5b4f543fc1e9837ff8eab8de18a7095a2af11d83316fcaac6096
src/ticker_identity_transition.py	T1	modify	1599	e90e93d8b34504147734c3e194ca39d24a75812239ec11af08debc10dce1a40c
src/ticker_identity_service.py	T1	modify	384	f15417c8f3c1e76cbe5ae5ae39a805d2ca36c486358f55ed35fd78cbd05c50f7
tests/fixtures/security_lifecycle_automation_sec.json	T4	add	0	ABSENT
tests/test_sec_user_agent.py	T3	modify	51	7d951d358ece1630e66a5cbf6be1e62fa74446da04690e9f67e8495c6ea7cd82
tests/test_sec_corporate_actions.py	T3	modify	575	e1febb9de56d6c6ba385e4de7194a78ba46db419614a1edf716bfa0a338f5723
tests/test_sec_edgar_financials.py	T3	modify	266	1ca5a3a3311438285af634e962e86e4a84d14b809540071c1fa1c37144520e1a
tests/test_symbol_catalog.py	T3	modify	312	db95ca901431d75cf1e85f176c0feb49688bfc42a19d754cba873bca2e1a1b6b
tests/test_data_provider_config.py	T3	modify	716	9c291a9ea5ad99132b29915c27d955b0315636484f44c4763c89915e9671386e
tests/test_sec_transport.py	T3	add	0	ABSENT
tests/test_security_lifecycle_schema.py	T1	modify	284	62eb1828d28e3869536afe9eee8440346a4fb0bd811cb9943e6cf99ef8d86acc
tests/test_security_lifecycle_investigation.py	T1/T7	modify	816	688ff010f14c8cfd342d3e00be32da1d5caf8dfefffe09c09d0d8312fe8c57b1
tests/test_security_lifecycle_manual_evidence.py	T1	modify	73	dbe5f831d1aacf4aa3d89a841a72d2a7b711ff5c74f0a371463c72d6ebf6e1a2
tests/test_security_lifecycle_tools.py	T1	modify	428	869d294c7e9edaaf7ab74d34713434a451b36d7d31cd7ed3ce81c63a0ab1da18
tests/test_security_lifecycle_migration.py	T2	modify	603	344552ee678cba7a97a4ea24ee46a362cd253a182df7d2846c09730c9cb6aa39
tests/test_tavily_retirement.py	T2	modify	156	138e426c1e92f9fca6f2e563787b10a813de018ea31010d7f937a39ae78c1f84
tests/test_security_lifecycle_automation_schema.py	T1	add	0	ABSENT
tests/test_security_lifecycle_automation_migration.py	T2	add	0	ABSENT
tests/test_security_lifecycle_sec_evidence.py	T4	add	0	ABSENT
tests/test_security_lifecycle_news_evidence.py	T5	add	0	ABSENT
tests/test_security_lifecycle_ibkr_evidence.py	T6	add	0	ABSENT
tests/test_security_lifecycle_fact_kernel.py	T7	add	0	ABSENT
tests/test_ticker_identity_schema.py	T1	modify	396	e45332fa07a501e9b3fc0cc08b1017e2a3d10d4740640acc2d09c3151c8eb816
tests/test_ticker_identity_migration.py	T2	modify	440	e1a292ea06cde5c9509ad10ee3c313ada85998406924ba426753173c1c01ec6a
tests/test_ticker_identity_transition.py	T1	modify	1299	b4ff14abd4ff4c4c4965d6280c5ab664cadec1abb6fd59007994c70e5c67ac1f
tests/test_profile_state.py	T1	modify	1186	7e67ff851b910ce18f1b5f86c236905db8b50f3d531f089c453fb2551caaa331
docs/design/PROJECT_PRIORITY_MAP.md	T0/T8	modify	1413	74dd55ca876f622bfc8d39caf745bb21aa7168b6beb7ca82f5285843d4a6f1ab
