path	task	action	base_lines	base_sha256
src/security_lifecycle_schema.py	T3	modify	737	61e6ddcc692266d677cb6a08d02ddc51a30182949be00a5bc8ab166f5e92a2b6
src/security_lifecycle_fact_kernel.py	T2/T3	modify	1258	e19b976ec0518728517cf1c6683a652fbe107774984a190fb9576e50c47e28fc
src/security_lifecycle_sec_evidence.py	T2	modify	863	67168a093df6137e7e16c40ca7630971327c7a3ff9399b244a55fe9513bec0f9
src/security_lifecycle_decision_policy.py	T2	modify	756	189641786e220a758f193d2a552b6123ad1999ed512cdc87f9e97475612ac63f
src/security_lifecycle_automation_worker.py	T3	modify	497	9c8251c8095f77beff5b72583664932341bc09fe66a32fb6cba64c663d5a49d1
src/security_lifecycle_ibkr_evidence.py	T2	modify	429	a8ddc0c8ebe9d2334e92a9dba3d7780bffee0283a4be348c70b902b36a8444c6
src/service/security_lifecycle_automation_scheduler.py	T2	modify	970	f94c80fd9f19ca2427f6f7d5a1c5273649fdd68ff3d2c02f8607263140fe3286
tests/test_security_lifecycle_automation_schema.py	T1/T3	modify	784	9d811e2d1baf40c1d1e23cef9042f1e1d9180df5791e92cc2b48442d253c78d4
tests/test_security_lifecycle_fact_kernel.py	T1/T2/T3	modify	540	31a8ac6b863e78b4816d0d21f42806229faeef2ca6d364e386baf774070e98bc
tests/test_security_lifecycle_sec_evidence.py	T1/T2	modify	297	0dd4d7e5195d1057edaac047557973f5ad7e28de1a0ee3a61fe2a005993eb0dd
tests/test_security_lifecycle_decision_policy.py	T1/T2	modify	421	32be18d434e1fa497aac513dc596949d3f648eefa104d43fd61c3848867704aa
tests/test_security_lifecycle_automation_worker.py	T1/T3	modify	752	44c4e0591465eb442d850f9e452966892dabe3e1f82c0f6d08a6790eb5353607
tests/test_security_lifecycle_ibkr_evidence.py	T1/T2	modify	310	0ad57acd3ea5aa54e76e8289115c0dd6f62a7d532fb45090e20e8e9c33ec2f02
tests/test_security_lifecycle_grounded_shadow.py	T2/T4	modify	246	7e3ca6a4572644c6182f909a31fa82385faea604044289a992699514f0394770
tests/fixtures/security_lifecycle_grounded_shadow.json	T2/T4	modify	126	f7e8b00332d0e3f14c317fd0c139b0769988e3bfbd4e0107051bfe6c763160f5
apps/arkscope-web/src/api.ts	T3	modify	3734	418db787bc4573c3a76c6638d0779e30305ea07b63bb673835b082569dd69962
apps/arkscope-web/src/lifecycle/lifecyclePresentation.ts	T3	modify	436	7eabf719fe3e20a83a983b00729e2ecfeb8ef2d8dac0613ae105102ff73d2bff
apps/arkscope-web/src/lifecycle/lifecyclePresentation.test.ts	T1/T3	modify	140	b35294ba2d541b44b1f52ff7032a3ac2e3924177732fc194fcc78700de6f087a
apps/arkscope-web/src/i18n/resources/en/explore.ts	T3	modify	813	611b0c6d7f85a6b8a953820ef40840196d0a0b703374aafa02509017a5e9f529
apps/arkscope-web/src/i18n/resources/zh-Hant/explore.ts	T3	modify	810	6041d749efb3ff5c42511ca03c6df3e5d6a63f1965704d94a39f2c72b4bdf4f1
apps/arkscope-web/src/i18n/resources.test.ts	T3	modify	1278	7e3768d23d0101e68b34568582c653aa10021bb994316d08cb00e95eeb859527
docs/design/PROJECT_PRIORITY_MAP.md	T0/T4	modify	1421	48080f5ee5a78a971220805dc0f2e88c598705e8925008edb50154fe1f844d44
